id,STAR_WHITE_DWARF,STAR_CATY_VAR,STAR_BROWN_DWARF,SERENDIPITY_RED,REDDEN_STD,STAR_BHB,GALAXY,SERENDIPITY_DISTANT,QSO,SKY,STAR_RED_DWARF,ROSAT_D,STAR_PN,SERENDIPITY_FIRST,STAR_CARBON,SPECTROPHOTO_STD,STAR_SUB_DWARF,SERENDIPITY_MANUAL,SERENDIPITY_BLUE
199991,8.925058e-06,1.4494302e-05,0.13960901,0.00011046866,9.367149e-09,5.6123116e-07,4.8354217e-05,8.844019e-07,8.641632e-06,1.5023588e-05,2.017319e-05,1.0419405e-05,8.841641e-05,0.13131242,7.815962e-05,0.7286565,1.0069535e-06,1.6524953e-05,7.0251066e-10
199992,0.0034219609,0.0409176,0.00028212526,0.3057461,0.00011617114,8.566742e-08,0.21633276,6.722258e-05,0.3176594,0.000571107,0.0002036102,0.0003722184,0.00033120665,0.113184504,0.00017804901,0.0005523294,4.10799e-06,5.907007e-05,3.8669666e-07
199993,0.00030718916,1.220677e-05,1.4461392e-05,0.051943503,0.7765377,4.5973768e-05,0.0003732366,0.011214197,0.15325023,0.0017899954,6.415047e-05,2.4399491e-05,0.0016616452,1.1557286e-06,0.00236956,9.733343e-07,0.00012369266,0.00019972287,6.590219e-05
199994,9.6432095e-06,0.8516977,6.7153957e-07,0.012070031,7.3535483e-07,5.190577e-09,0.026383117,8.913567e-05,0.10699581,5.792769e-06,0.0008515729,0.0017620206,3.5584626e-06,0.00012639057,5.255755e-07,1.8700277e-06,4.2558503e-07,1.1046398e-06,2.7633762e-08
199995,9.6269105e-06,1.7303899e-05,0.16031288,0.00012655802,1.8914163e-08,7.9137425e-07,7.007939e-05,9.042391e-07,9.019099e-06,2.5775018e-05,1.9586301e-05,9.584085e-06,0.0001074585,0.104088016,6.953416e-05,0.73511463,1.092434e-06,1.7109971e-05,1.0123224e-09
199996,5.232019e-07,0.027144471,9.880293e-07,0.013163818,2.0146383e-06,7.073719e-05,0.00074925745,0.0023558687,0.16227102,9.13895e-06,0.026817935,1.6679739e-07,5.4634675e-05,2.0833727e-06,0.00014458872,5.934452e-07,0.76691186,1.4484687e-05,0.00028566577
199997,5.5478663e-06,0.86623657,2.1931064e-07,0.012450588,2.3197599e-07,2.055695e-09,0.021423955,0.00013586416,0.09665571,2.0345506e-06,0.0011716256,0.0018523681,1.6816759e-06,6.146362e-05,2.0024565e-07,6.586492e-07,5.6403485e-07,6.747684e-07,1.861252e-08
199998,7.4262007e-06,0.062072955,2.0786774e-05,0.021002967,2.0941858e-05,0.00041326392,0.0020562424,0.004162531,0.42998603,0.0003974362,0.07251486,1.8715538e-06,0.0003556897,2.9246754e-05,0.0010565118,1.3378883e-05,0.4056201,0.00014283878,0.00012481751
199999,3.4949346e-06,1.0923253e-06,3.4063742e-06,0.0025251275,9.625779e-06,4.0992977e-06,0.0011589692,1.5458177e-06,0.004375225,8.8871375e-06,1.8709802e-06,1.2594332e-06,2.4893117e-07,6.181959e-07,0.99188083,1.5582716e-06,1.8836656e-05,3.285383e-06,6.2376536e-08
200000,0.00034789043,0.6011266,1.0552985e-06,0.041822284,2.9575926e-06,5.406265e-08,0.04126558,0.0007396095,0.28966746,9.9563495e-06,0.0013319638,0.023318602,9.8209575e-06,0.00033030982,2.848839e-06,4.766614e-06,1.0077027e-05,5.6366844e-06,2.4966878e-06
